Model,Ratings,Original Price,Discount Percentage,Exclusive Price
"TUNE AUDIO U&I SOLID 12 HOURS MUSIC PLAYBACK IPX4 4D BASS SPORT Bluetooth headphone / Bluetooth earphone Magnetic bluetooth.NECKBAND FOR OPPO,MI,JBL,SONY,SAMSUNG",188,"Rs. 2,999",82% Off,Rs.  549
TUNE AUDIO FIGHTER JACKPOT 12 HOURS MUSIC PLAYBACK IPX4 4D BASS SPORT Bluetooth headphone / Bluetooth earphone Magnetic Bluetooth neckband earphone,822,"Rs. 1,999",73% Off,Rs.  549
TUNE AUDIO U&I JACKPOT 12 HOURS MUSIC PLAYBACK IPX4 4D BASS SPORT Bluetooth headphone / Bluetooth earphone Magnetic Compatible with all Smartphones ,2050,"Rs. 2,499",74% Off,Rs.  649
boAt BassHeads 182 in Ear Wired With Mic Headphones/Earphones,15,"Rs. 1,290",61% Off,Rs.  499
Neo Hitage TWS13 In Ear Wired With Mic Headphones/Earphones,3,"Rs. 3,999",65% Off,"Rs.  1,403"
Bluei Kungfu panda series hi-fi-stereo sound high definition sound quality headphone for the high resolution product.,242,Rs. 599,68% Off,Rs.  189
hitage na  NBT 6858 Neckband Wireless With Mic Headphones/Earphones,133,"Rs. 2,999",78% Off,Rs.  649
 HITAGE Wireless Neckband Bluetooth Earphone Headset Earbud Portable Headphone Handsfree Sports Running Sweatproof Compatible with all Smartphone (HBS 730),1277,"Rs. 1,999",75% Off,Rs.  499
Hitage Sleek Wireless Neckband Bluetooth Earphone Headset Earbud Portable Headphone Handsfree Sports Running Sweatproof Compatible Android Smartphone Noise Cancellation (HBS 730),331,"Rs. 2,999",83% Off,Rs.  519
fiado Xg-8 tws sports5.0 Ear Buds Wireless With Mic Headphones/Earphones,45,"Rs. 5,999",78% Off,"Rs.  1,349"
Maryam WB 104 SPORTS MAGNET WIRELESS BLUETOOTH  MAGNET WIRELESS BLUETOOTH Genuine High Quality Magnet Neckband Wireless With Mic Headphones/Earphones,30,"Rs. 1,999",80% Off,Rs.  399
"KDM G2 SOLID SERIES MUSIC PLAYBACK IPX4 4D BASS SPORT Bluetooth headphone / Bluetooth earphone Magnetic wireless FOR OPPO,VIVO,ONEPLUS,JBL,SONY,SAMSUNG",156,"Rs. 3,999",83% Off,Rs.  675
hitage Nbt-9541 Sports Megnatic LightWeight Neckband Wireless With Mic Headphones/Earphones,4,Rs. 999,30% Off,Rs.  699
Bluei BT 13 sports Oud Oud In Ear Wired With Mic Headphones/Earphones,87,"Rs. 2,999",84% Off,Rs.  469
Zebronics ZEB-COROLLA In Ear Wired With Mic Headphones/Earphones,225,Rs. 399,35% Off,Rs.  259
RPM Euro Games Premium Gaming Headphones Over Ear Wired With Mic Headphones/Earphones,6,"Rs. 1,990",60% Off,Rs.  799
Expode XB 450 On Ear Wired With Mic Headphones/Earphones,122,"Rs. 1,999",84% Off,Rs.  329
Macjack Wave 100 In Ear Wired Earphone In Ear Wired With Mic Headphones/Earphones,111,Rs. 999,73% Off,Rs.  269
"TUNE AUDIO U&I MISSION BASS MUSIC PLAYBACK IPX4 4D BASS SPORT Bluetooth headphone / Bluetooth earphone Magnetic FOR OPPO,VIVO,SONY,REALME,MI,SAMSUNG",26,"Rs. 3,999",84% Off,Rs.  625
hitage na In Ear Wired With Mic Headphones/Earphones,0,Rs. 499,50% Off,Rs.  249
